white_model,black_model,white_wins,black_wins,draws,total_games,white_win_rate,black_win_rate,draw_rate,avg_game_length
iteration_0,iteration_1,42,28,0,70,0.6,0.4,0.0,92.86
iteration_0,iteration_10,30,20,0,50,0.6,0.4,0.0,91.56
iteration_0,iteration_11,28,22,0,50,0.56,0.44,0.0,94.32
iteration_0,iteration_12,32,17,1,50,0.64,0.34,0.02,94.48
iteration_0,iteration_13,26,23,1,50,0.52,0.46,0.02,93.6
iteration_0,iteration_14,27,23,0,50,0.54,0.46,0.0,95.18
iteration_0,iteration_15,25,25,0,50,0.5,0.5,0.0,92.98
iteration_0,iteration_16,29,21,0,50,0.58,0.42,0.0,90.38
iteration_0,iteration_17,32,17,1,50,0.64,0.34,0.02,93.14
iteration_0,iteration_18,31,18,1,50,0.62,0.36,0.02,94.14
iteration_0,iteration_19,33,16,1,50,0.66,0.32,0.02,91.1
iteration_0,iteration_2,35,34,1,70,0.5,0.486,0.014,93.26
iteration_0,iteration_20,37,13,0,50,0.74,0.26,0.0,91.68
iteration_0,iteration_21,28,21,1,50,0.56,0.42,0.02,92.5
iteration_0,iteration_22,28,21,1,50,0.56,0.42,0.02,91.58
iteration_0,iteration_23,30,20,0,50,0.6,0.4,0.0,94.8
iteration_0,iteration_24,22,28,0,50,0.44,0.56,0.0,93.4
iteration_0,iteration_3,38,32,0,70,0.543,0.457,0.0,92.37
iteration_0,iteration_4,24,24,2,50,0.48,0.48,0.04,93.42
iteration_0,iteration_5,30,19,1,50,0.6,0.38,0.02,93.08
iteration_0,iteration_6,27,22,1,50,0.54,0.44,0.02,93.38
iteration_0,iteration_7,22,28,0,50,0.44,0.56,0.0,95.62
iteration_0,iteration_8,25,24,1,50,0.5,0.48,0.02,92.9
iteration_0,iteration_9,35,15,0,50,0.7,0.3,0.0,90.48
iteration_1,iteration_0,36,33,1,70,0.514,0.471,0.014,93.23
iteration_1,iteration_10,23,26,1,50,0.46,0.52,0.02,95.76
iteration_1,iteration_11,23,26,1,50,0.46,0.52,0.02,92.72
iteration_1,iteration_12,33,16,1,50,0.66,0.32,0.02,92.28
iteration_1,iteration_13,25,24,1,50,0.5,0.48,0.02,93.84
iteration_1,iteration_14,29,21,0,50,0.58,0.42,0.0,90.94
iteration_1,iteration_15,29,20,1,50,0.58,0.4,0.02,93.72
iteration_1,iteration_16,36,14,0,50,0.72,0.28,0.0,93.48
iteration_1,iteration_17,31,19,0,50,0.62,0.38,0.0,90.62
iteration_1,iteration_18,25,24,1,50,0.5,0.48,0.02,94.28
iteration_1,iteration_19,31,18,1,50,0.62,0.36,0.02,95.3
iteration_1,iteration_2,33,37,0,70,0.471,0.529,0.0,93.79
iteration_1,iteration_20,32,17,1,50,0.64,0.34,0.02,93.12
iteration_1,iteration_21,28,22,0,50,0.56,0.44,0.0,92.64
iteration_1,iteration_22,28,22,0,50,0.56,0.44,0.0,93.64
iteration_1,iteration_23,34,16,0,50,0.68,0.32,0.0,91.38
iteration_1,iteration_24,29,21,0,50,0.58,0.42,0.0,90.86
iteration_1,iteration_3,32,38,0,70,0.457,0.543,0.0,91.87
iteration_1,iteration_4,24,25,1,50,0.48,0.5,0.02,94.34
iteration_1,iteration_5,22,28,0,50,0.44,0.56,0.0,93.82
iteration_1,iteration_6,28,21,1,50,0.56,0.42,0.02,94.2
iteration_1,iteration_7,28,21,1,50,0.56,0.42,0.02,92.58
iteration_1,iteration_8,24,25,1,50,0.48,0.5,0.02,93.5
iteration_1,iteration_9,28,21,1,50,0.56,0.42,0.02,94.96
iteration_10,iteration_0,22,28,0,50,0.44,0.56,0.0,93.5
iteration_10,iteration_1,23,27,0,50,0.46,0.54,0.0,92.88
iteration_10,iteration_11,25,25,0,50,0.5,0.5,0.0,90.92
iteration_10,iteration_12,24,26,0,50,0.48,0.52,0.0,93.06
iteration_10,iteration_13,19,31,0,50,0.38,0.62,0.0,93.04
iteration_10,iteration_14,29,21,0,50,0.58,0.42,0.0,92.34
iteration_10,iteration_15,29,21,0,50,0.58,0.42,0.0,93.84
iteration_10,iteration_16,33,17,0,50,0.66,0.34,0.0,92.12
iteration_10,iteration_17,18,31,1,50,0.36,0.62,0.02,93.32
iteration_10,iteration_18,27,23,0,50,0.54,0.46,0.0,91.98
iteration_10,iteration_19,27,23,0,50,0.54,0.46,0.0,92.14
iteration_10,iteration_2,16,34,0,50,0.32,0.68,0.0,90.94
iteration_10,iteration_20,24,25,1,50,0.48,0.5,0.02,95.62
iteration_10,iteration_21,30,19,1,50,0.6,0.38,0.02,93.62
iteration_10,iteration_22,26,23,1,50,0.52,0.46,0.02,90.68
iteration_10,iteration_23,21,29,0,50,0.42,0.58,0.0,91.02
iteration_10,iteration_24,25,25,0,50,0.5,0.5,0.0,92.58
iteration_10,iteration_3,23,27,0,50,0.46,0.54,0.0,91.26
iteration_10,iteration_4,32,18,0,50,0.64,0.36,0.0,94.12
iteration_10,iteration_5,23,25,2,50,0.46,0.5,0.04,91.26
iteration_10,iteration_6,24,25,1,50,0.48,0.5,0.02,96.82
